hand_id,hero_position,hero_hole_cards,hero_action_preflop,hero_folded,hero_won,pot_size,hero_profit_bb,big_blind,hero_stack_pre_bb,num_opponents_preflop,is_pair,suited,high_card_rank,low_card_rank,gap,hand_group
HD2901796396,BTN,Td 8d,calls,False,0.0,4.5,0.0,0.25,0.0,6,0,1,10,8,1,7
HD2901796293,SB,Qd 3d,calls,False,0.0,2.1,0.0,0.25,0.0,6,0,1,12,3,8,7
HD2901796244,BB,9s 2c,checks,False,0.0,0.95,0.0,0.25,0.0,6,0,0,9,2,6,3
HD2901796149,EP,3s 6c,checks,False,0.0,4.63,0.0,0.25,0.0,5,0,0,6,3,2,3
HD2902526262,BB,2h Ac,calls,False,0.0,0.71,0.0,0.02,0.0,8,0,0,14,2,11,3
HD2902526213,EP,2c 6c,folds,True,0.0,0.14,0.0,0.02,0.0,7,0,1,6,2,3,3
HD2902526135,EP,6d 7s,folds,True,0.0,0.19,0.0,0.02,0.0,8,0,0,7,6,0,3
HD2902526039,MP1,Qs Ts,raises,False,0.41,0.43,20.5,0.02,0.0,8,0,1,12,10,1,9
HD2902454403,MP1,8h Jh,raises,False,0.0,8.13,0.0,0.02,0.0,7,0,1,11,8,2,7
HD2901751407,EP,4s 9d,folds,True,0.0,5.49,0.0,0.25,0.0,7,0,0,9,4,4,3
HD2901751352,EP,7s 4d,folds,True,0.0,1.85,0.0,0.25,0.0,8,0,0,7,4,2,3
HD2901751245,MP2,Kc Kd,raises,False,5.12,5.39,20.48,0.25,0.0,7,1,0,13,13,-1,10
HD2901751123,MP3,Jd 2d,calls,False,0.0,35.99,0.0,0.25,0.0,8,0,1,11,2,8,7
HD2901750964,CO,6c 6s,raises,False,0.0,19.73,0.0,0.25,0.0,8,1,0,6,6,-1,6
HD2901750829,BTN,2d 2h,calls,False,0.0,7.52,0.0,0.25,0.0,8,1,0,2,2,-1,6
HD2901750746,SB,Th 6s,calls,False,0.0,1.45,0.0,0.25,0.0,8,0,0,10,6,3,3
HD2901750596,BB,5d 3d,folds,True,0.0,23.25,0.0,0.25,0.0,8,0,1,5,3,1,3
HD2901750519,EP,7d Kd,raises,False,1.48,1.55,5.92,0.25,0.0,8,0,1,13,7,5,7
HD2901750460,EP,7d 9h,calls,False,0.0,1.25,0.0,0.25,0.0,7,0,0,9,7,1,3
HD2901750316,MP2,Ts Th,raises,False,0.0,26.9,0.0,0.25,0.0,8,1,0,10,10,-1,10
HD2901750196,CO,Ac 7c,raises,False,0.0,7.95,0.0,0.25,0.0,6,0,1,14,7,6,7
HD2901750140,BTN,5s 8c,folds,True,0.0,1.0,0.0,0.25,0.0,7,0,0,8,5,2,3
HD2901750076,SB,2d Ks,folds,True,0.0,2.01,0.0,0.25,0.0,7,0,0,13,2,10,3
HD2901749930,BB,8c 3c,calls,False,0.0,5.5,0.0,0.25,0.0,7,0,1,8,3,4,3
HD2901898245,SB,7h 7s,raises,False,0.0,4.04,0.0,0.1,0.0,5,1,0,7,7,-1,6
HD2901898129,BB,8d 7s,checks,False,0.0,1.0,0.0,0.1,0.0,5,0,0,8,7,0,3
HD2901898048,EP,7s As,raises,False,0.0,0.25,0.0,0.1,0.0,5,0,1,14,7,6,7
HD2901897960,EP,3d As,calls,False,0.34,0.35,3.4,0.1,0.0,5,0,0,14,3,10,3
HD2901897844,CO,Jc 5h,calls,False,0.0,1.89,0.0,0.1,0.0,5,0,0,11,5,5,3
HD2901897712,BTN,6s 5c,folds,True,0.0,1.4,0.0,0.1,0.0,5,0,0,6,5,0,3
HD2901897559,SB,9c Tc,calls,False,0.0,0.6,0.0,0.1,0.0,5,0,1,10,9,0,7
HD2901897422,BB,Qh Js,calls,False,0.0,10.89,0.0,0.1,0.0,5,0,0,12,11,0,6
HD2901897374,EP,8c Qd,calls,False,0.0,0.25,0.0,0.1,0.0,5,0,0,12,8,3,3
HD2901897211,EP,6s Ah,calls,False,0.0,0.53,0.0,0.1,0.0,5,0,0,14,6,7,3
HD2901897094,CO,Qc 4c,folds,True,0.0,0.6,0.0,0.1,0.0,5,0,1,12,4,7,7
